rank_group,rank_absolute,domain,title,url,image_url,snippet,time_published,timestamp
45,50,dantri.com.vn,"Video: Nga lần đầu công bố video hiện trường rơi máy bay ""chở tù binh 
Ukraine""",https://dantri.com.vn/video/nga-lan-dau-cong-bo-video-hien-truong-roi-may-bay-cho-tu-binh-ukraine-169533.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:44,"Nga lần đầu tiên công bố video ghi hình hiện trường vụ máy bay quân sự 
Il-76 mà Moscow nói là đã rơi sau khi bị lực lượng của Kiev bắn rơi...",15 giờ trước,2024-01-26 00:58:33 +00:00
46,51,vnexpress.net,Ông Zelensky: Nga đang đùa giỡn với mạng sống tù binh Ukraine,https://vnexpress.net/ong-zelensky-nga-dang-dua-gion-voi-mang-song-tu-binh-ukraine-4704800.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:45,"Ông Zelensky chỉ trích Nga ""đùa giỡn với tính mạng tù binh Ukraine"", kêu 
gọi mở cuộc điều tra quốc tế về vụ rơi máy bay Il-76 tại tỉnh...",1 ngày trước,2024-01-25 15:58:33 +00:00
47,52,vnexpress.net,Nga tuyên bố tập kích tổ hợp phòng không hơn nửa tỷ USD của Ukraine,https://vnexpress.net/nga-tuyen-bo-tap-kich-to-hop-phong-khong-hon-nua-ty-usd-cua-ukraine-4704968.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:46,"Nga lần đầu thông báo tấn công, phá hủy hệ thống tên lửa phòng không tầm 
trung SAMP/T được Pháp và Italy viện trợ cho Ukraine. - VnExpress.",1 ngày trước,2024-01-25 15:58:33 +00:00
48,53,vnexpress.net,Tranh cãi quanh vụ 'máy bay Nga chở tù binh Ukraine bị bắn rơi',https://vnexpress.net/tranh-cai-quanh-vu-may-bay-nga-cho-tu-binh-ukraine-bi-ban-roi-4705001.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:47,"Nga cho hay vận tải cơ Il-76 chở tù binh Ukraine bị bắn rơi tại tỉnh 
Belgorod, nhưng tuyên bố này vấp phải hoài nghi và tranh cãi trong giới...",1 ngày trước,2024-01-25 15:58:33 +00:00
49,54,vnexpress.net,Ukraine tấn công nhà máy lọc dầu Nga,https://vnexpress.net/ukraine-tan-cong-nha-may-loc-dau-nga-4705208.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:48,"Nguồn tin an ninh Ukraine cho biết nước này đã thực hiện cuộc tập kích UAV 
vào nhà máy lọc dầu ở thị trấn Tuapse, miền nam nước Nga.",1 ngày trước,2024-01-25 15:58:33 +00:00
50,55,tienphong.vn,"Ukraine, Mỹ lên tiếng về vụ rơi máy bay Il-76 ở Nga",https://tienphong.vn/ukraine-my-len-tieng-ve-vu-roi-may-bay-il-76-o-nga-post1607479.tpo,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:49,"Tổng thống Ukraine Volodymyr Zelensky nói rằng cần phải xác minh mọi sự 
thật và tiến hành điều tra vụ rơi máy bay Il-76 của Nga hôm 24/1.",1 ngày trước,2024-01-25 15:58:33 +00:00
51,56,dantri.com.vn,"Chiến sự Ukraine 24/1: Avdiivka nguy ngập, Kiev cấp tốc vá mảng vỡ lớn 
nhưng đã quá muộn?",https://dantri.com.vn/the-gioi/chien-su-ukraine-241-kiev-cap-toc-va-mang-vo-lon-o-avdiivka-20240124104325073.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:50,"(Dân trí) - Nhiệm vụ sống còn của Ukraine là giành lại sở chỉ huy trung 
tâm, nếu không toàn bộ sườn phòng thủ ở nam Avdiivka sẽ sụp đổ.",2 ngày trước,2024-01-24 15:58:33 +00:00
52,57,vnexpress.net,Moskva cáo buộc Kiev bắn rơi máy bay chở tù binh Ukraine,https://vnexpress.net/moskva-cao-buoc-kiev-ban-roi-may-bay-cho-tu-binh-ukraine-4704760.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:51,"Moskva nói lực lượng Ukraine ở Kharkov dùng tên lửa bắn rơi máy bay quân sự 
Nga chở 65 tù binh Ukraine, gọi đây là hành vi ""man rợ"".",2 ngày trước,2024-01-24 15:58:33 +00:00
53,58,dantri.com.vn,"Ukraine có thành tựu quân sự bước ngoặt: Giáng đòn mạnh nghiêm trọng đáng 
báo động vào Nga",https://dantri.com.vn/the-gioi/ukraine-tuyen-bo-co-thanh-tuu-quan-su-buoc-ngoat-giang-don-manh-vao-nga-20240123142713975.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:52,"(Dân trí) - Kiev tuyên bố, kể từ đầu tháng 12/2023, các lực lượng vũ trang 
Ukraine đã phá hủy ít nhất 7 máy bay Nga, một thành tựu quân sự...",2 ngày trước,2024-01-24 15:58:33 +00:00
54,59,baonghean.vn,"Nga tuyên bố sẽ truy tìm và trừng phạt những người Ukraine liên quan vụ bắn 
rơi máy bay Il-76 chở tù binh",https://baonghean.vn/nga-tuyen-bo-se-truy-tim-va-trung-phat-nhung-nguoi-ukraine-lien-quan-vu-ban-roi-may-bay-il-76-cho-tu-binh-post283906.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:53,"(Baonghean.vn) - Bộ Ngoại giao Nga gọi cuộc tấn công của Lực lượng vũ trang 
Ukraine vào máy bay Il-76 của ngành Hàng không vận tải quân sự...",1 ngày trước,2024-01-25 15:58:33 +00:00
55,60,thanhnien.vn,Tranh cãi vụ máy bay Nga rơi gần biên giới Ukraine,https://thanhnien.vn/tranh-cai-vu-may-bay-nga-roi-gan-bien-gioi-ukraine-185240125204805653.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:54,"Giới hữu trách Nga cho biết đã tìm thấy cả hai hộp đen của máy bay vận tải 
quân sự rơi gần biên giới với Ukraine hôm 24.1.",16 giờ trước,2024-01-25 23:58:33 +00:00
56,61,dantri.com.vn,"Nga lần đầu công bố video hiện trường rơi máy bay ""chở tù binh Ukraine""",https://dantri.com.vn/the-gioi/nga-lan-dau-cong-bo-video-hien-truong-roi-may-bay-cho-tu-binh-ukraine-20240126071414796.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:55,"(Dân trí) - Nga lần đầu tiên công bố video ghi hình hiện trường vụ máy bay 
quân sự Il-76 mà Moscow nói là đã rơi sau khi bị lực lượng của...",15 giờ trước,2024-01-26 00:58:33 +00:00
57,62,vnexpress.net,Nga điều tra khủng bố vụ rơi máy bay chở tù binh Ukraine,https://vnexpress.net/nga-dieu-tra-khung-bo-vu-roi-may-bay-cho-tu-binh-ukraine-4705289.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:56,"Nga điều tra khủng bố với vụ rơi máy bay Il-76 ở tỉnh Belgorod khiến hơn 60 
tù binh Ukraine thiệt mạng, cáo buộc Kiev đứng sau sự việc.",16 giờ trước,2024-01-25 23:58:33 +00:00
58,63,thanhnien.vn,"Điểm xung đột: Houthi đến gặp Nga; ông Putin bất ngờ muốn xuống thang ở 
Ukraine?",https://thanhnien.vn/diem-xung-dot-houthi-den-gap-nga-ong-putin-bat-ngo-muon-xuong-thang-o-ukraine-185240126174226615.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:57,"Trong khi phương Tây ngày càng nâng cao cảnh giác và chuẩn bị tinh thần cho 
việc xung đột Nga-Ukraine sẽ kéo dài thêm nữa, lại có một số dấu...",1 giờ trước,2024-01-26 14:58:33 +00:00
59,64,tuoitre.vn,Nga nghi Ukraine dùng tên lửa Mỹ hoặc Đức bắn máy bay chở tù binh,https://tuoitre.vn/nga-nghi-ukraine-dung-ten-lua-my-hoac-duc-ban-may-bay-cho-tu-binh-20240126094647166.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:58,"Nga đang điều tra vụ máy bay chở tù binh Ukraine bị bắn hạ, với một trong 
các điểm mấu chốt là liệu Ukraine có sử dụng vũ khí do phương Tây...",11 giờ trước,2024-01-26 04:58:33 +00:00
